file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
misc/sccp-mcp/src/substrate_storage.rs,misc/sccp-mcp/src/substrate_storage.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp-mcp/src/tools.rs,misc/sccp-mcp/src/tools.rs,2026-02-17T13:35:34+04:00,2026-02-17T13:35:34+04:00,1,1,1,0.00,
misc/sccp/run_all_tests.sh,misc/sccp/run_all_tests.sh,2026-02-15T13:30:13+04:00,2026-02-16T09:57:29+04:00,2,2,1,0.00,
misc/sccp/stress_sccp_sol_program.sh,misc/sccp/stress_sccp_sol_program.sh,2026-02-16T09:57:29+04:00,2026-02-16T09:57:29+04:00,1,1,1,0.00,
node/Cargo.toml,node/Cargo.toml,2024-08-23T21:52:12+07:00,2026-02-12T15:01:52+04:00,22,22,5,0.00,
node/chain_spec/Cargo.toml,node/chain_spec/Cargo.toml,2024-08-23T21:52:12+07:00,2026-02-12T15:01:52+04:00,21,21,4,0.00,
node/chain_spec/src/bytes/chain_spec_bridge_staging.json,node/chain_spec/src/bytes/chain_spec_bridge_staging.json,2026-02-12T15:01:52+04:00,2026-02-12T15:01:52+04:00,1,1,1,0.00,
node/chain_spec/src/bytes/chain_spec_main.json,node/chain_spec/src/bytes/chain_spec_main.json,2026-02-12T15:01:52+04:00,2026-02-12T15:01:52+04:00,1,1,1,0.00,
node/chain_spec/src/bytes/chain_spec_test.json,node/chain_spec/src/bytes/chain_spec_test.json,2024-10-22T00:28:06+07:00,2026-02-12T15:01:52+04:00,2,2,2,0.00,
node/chain_spec/src/lib.rs,node/chain_spec/src/lib.rs,2024-08-22T13:29:16+03:00,2026-02-15T13:30:13+04:00,14,14,5,0.00,
node/src/data_feed_metrics.rs,node/src/data_feed_metrics.rs,2024-12-06T04:59:15+07:00,2024-12-06T04:59:15+07:00,1,1,1,0.00,
node/src/service.rs,node/src/service.rs,2026-02-12T15:01:52+04:00,2026-02-12T15:01:52+04:00,1,1,1,0.00,
pallets/apollo-platform/Cargo.toml,pallets/apollo-platform/Cargo.toml,2025-09-13T21:53:13+07:00,2025-09-13T21:53:13+07:00,1,1,1,0.00,
pallets/apollo-platform/src/benchmarking.rs,pallets/apollo-platform/src/benchmarking.rs,2024-09-19T17:52:05+07:00,2025-01-24T21:31:00+01:00,3,3,2,0.00,
pallets/apollo-platform/src/lib.rs,pallets/apollo-platform/src/lib.rs,2024-08-27T14:15:49+02:00,2025-02-20T14:59:49+01:00,4,4,1,0.00,
pallets/apollo-platform/src/migrations.rs,pallets/apollo-platform/src/migrations.rs,2025-01-24T21:31:00+01:00,2025-01-28T16:48:40+07:00,2,2,2,0.00,
pallets/apollo-platform/src/mock.rs,pallets/apollo-platform/src/mock.rs,2024-09-30T07:05:28+03:00,2025-01-24T21:31:00+01:00,7,7,5,0.00,
pallets/apollo-platform/src/tests.rs,pallets/apollo-platform/src/tests.rs,2025-01-24T21:31:00+01:00,2025-02-20T14:59:49+01:00,2,2,1,0.00,
pallets/apollo-platform/src/weights.rs,pallets/apollo-platform/src/weights.rs,2024-08-23T16:29:22+03:00,2025-02-19T10:18:26+03:00,7,7,2,0.00,
pallets/assets/Cargo.toml,pallets/assets/Cargo.toml,2025-09-13T21:53:13+07:00,2025-09-13T21:53:13+07:00,1,1,1,0.00,
